Frame,T1Right,T2Right,T3Right,T4Right,T5Right,T6Right,T7Right,T8Right
132,23.45283744,28.5152198,12.39473695,27.04336192,5.237122874,18.02617297,7.442945653,29.58416982
133,23.45056417,28.47047931,11.60281621,28.38012375,5.484856242,16.87979716,7.971103813,29.58565382
134,23.53199694,28.77293951,11.63196974,30.01751489,5.715841845,15.77272583,8.050182607,29.18975492
135,23.65196313,28.92360697,12.78591725,31.06117628,6.149299798,14.63101145,8.157183828,29.35174707
136,23.81896656,29.49004876,13.17607529,31.59313343,6.538824359,13.94073857,8.595042292,29.44071847
137,24.08553425,29.74717681,14.32910772,32.40000494,6.353964432,14.77179799,8.441895522,29.79142105
138,25.27492861,29.40213326,13.3086919,32.80902315,6.193762023,15.34001408,8.224377423,29.63818186
139,26.36434562,29.0145398,12.14154389,33.20063325,5.964722961,15.31546251,8.020521679,29.59619867
140,27.65589355,28.95151257,10.43765491,33.30423156,5.315577109,15.94673133,7.638408211,29.59143011
141,27.68558672,28.8888906,8.251025633,33.25329794,4.332677694,16.27597395,7.584021097,29.71236726
142,27.81402236,28.8888906,6.731656557,33.35518143,4.173409158,17.3111571,7.565183408,29.7495487
143,26.9284896,28.91986611,5.947874915,33.48032019,3.063665778,16.87840372,7.501910157,29.84342929
144,25.47778452,28.8888906,5.903685628,33.62873438,2.507524676,17.02547362,7.579678093,29.76978119
145,23.55530683,28.93558529,5.992261677,33.62873438,2.53055567,18.11667078,7.207484998,29.70218039
146,21.5672715,28.98231295,5.87759951,33.41825513,3.205724879,19.2888909,6.228348096,29.74464658
147,19.82471185,28.82667653,6.214990909,33.06395742,3.728103003,19.63101546,5.702659029,29.7871575
148,18.56237399,28.79560078,6.811312942,32.33489657,3.786941774,20.53299394,5.291629617,29.79978846
149,17.70848926,28.84260959,7.191150117,31.66278825,4.204104661,20.02530559,4.999391963,29.83602011
150,17.7968141,28.81133333,7.869544332,30.96577207,3.883833158,19.74641314,4.915894222,29.8723128
151,17.7428115,28.76487302,7.836799347,30.22278028,4.346768915,19.38158301,4.604276273,29.8723128
152,17.4292297,28.73362128,7.441260108,30.00095145,3.972449119,18.98565185,4.48,29.83602011
153,15.84235942,28.79560078,7.317380952,29.14696444,3.608851341,18.11190989,4.792827975,30.22921289
154,14.21142751,28.78013204,7.349666659,28.97717281,3.485522056,17.46131725,5.301399061,30.15037088
155,13.88630635,28.79560078,7.317380952,28.88612234,3.735665938,17.72017336,5.76011111,30.35887007
156,13.74569023,28.81133333,6.900736193,27.81684094,3.542193671,18.33553228,5.634891303,30.33132875
157,13.49785879,28.89062741,6.427082697,27.47141059,3.324344146,19.10987179,5.330599966,30.1579628
158,14.08040908,28.84761065,5.985716331,26.35595842,3.342219622,19.93576404,5.004094324,30.38303211
159,14.15748226,28.16404744,5.663757057,25.34988316,3.215980099,20.91170773,3.866839536,30.21722846
160,14.19464688,27.65470289,5.299919999,24.5561756,3.227174616,21.51369573,3.504812691,30.43516282
161,14.13708881,27.65470289,4.47474692,23.65594048,2.923285822,21.73932694,3.26148923,30.86392639
162,13.99607945,27.68694595,4.204104661,22.79310071,2.534270704,22.22021854,3.119958974,31.23103482
163,13.91349273,27.1137751,4.118189894,22.04124715,2.873514921,22.45034343,2.507524676,31.69506006
164,13.64953333,26.46265172,3.883833158,21.6322426,2.734268458,22.52467305,2.231584191,32.50244052
165,14.02685424,26.22839377,4.257473429,20.79199384,2.985383057,22.65509744,2.331241729,32.81217725
166,14.13553593,25.94003177,4.054492817,20.56511843,2.780330916,22.80548004,2.235796055,33.05181484
